ID,numAdults,numChild,grpSize,grpType,hoursPark,daysPark,local,overnight,nightsCampIn,nightsCampOut,nightsLodgeIn,nightsLodgeOut,nightsOther,tripPurpose,equallyNearby,primaryNearby,otherNPS,otherNPSunits,entries,DKentries,expLocalTotal,expGas,expRentalCar,expPubTrans,expSnacks,expGroceries,expHotels,expcamp,expRec,expSouvenirs,expEqpRental,expRail,expGuides,expOther,expOtherSpec,DKexpLocal,adultsCovered,childrenCovered,numSplit,zip
C1316,2,0,2,3,2,NA,0,0,NA,NA,NA,NA,NA,2,0,NA,1,"GETTYSBURG, INDEPENDENCE, DAYTON AVIATION HERITAGE",1,NA,25,10,0,0,5,0,0,0,0,0,0,0,0,0, ,NA,1,NA,0,55555
C1333,2,0,2,1,3,NA,0,1,0,0,0,3,0,2,0,0,0, ,NA,99,6,3,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C1358,1,0,1,1,1,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,8850
C1375,3,0,3,2,3,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,2,NA,144,26,0,0,10,60,0,0,0,22,0,0,0,0, ,NA,2,NA,2,CANADA
C1376,4,2,6,4,2,NA,1,0,NA,NA,NA,NA,NA,2,1,NA,0, ,1,NA,105,0,0,0,0,0,0,0,0,20,0,85,0,0, ,NA,NA,NA,NA,CUYAHOGA
C1382,2,1,3,3,1,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,GREAT SMOKY MOUNTAINS,1,NA,30,5,0,0,0,20,0,0,0,0,0,0,0,0, ,NA,2,NA,1,55555
C1403,2,0,2,3,2.5,NA,0,1,0,1,0,0,0,2,0,NA,1,"ACADIA, ST. GAUDENS, SARATOGA",NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA,55555
C1405,2,1,3,3,NA,2,0,1,0,0,0,3,0,2,0,NA,1,JAMES A. GARFIELD,1,NA,65,20,0,0,25,0,0,0,0,0,0,0,0,0, ,NA,4,NA,2,55555
C1408,2,0,2,3,NA,2,0,1,0,0,0,0,2,2,1,1,0, ,1,NA,23,3,0,0,7,10,0,0,0,0,0,0,0,0, ,NA,2,2,NA,55555
C1409,2,1,3,3,1,NA,1,0,NA,NA,NA,NA,NA,1,1,NA,0, ,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA,DK
C1430,4,3,7,4,NA,2,0,1,0,0,0,0,3,2,1,1,0, ,1,NA,470,0,0,0,20,0,400,0,50,0,0,0,0,0, ,NA,NA,NA,NA, 
C1438,2,0,2,2,8,1.5,0,0,NA,NA,NA,NA,NA,1,NA,1,0, ,1,NA,147,40,0,0,0,30,0,36,0,0,0,0,0,1,DONATION,NA,2,0,2,55555
C1490,5,15,20,4,0,2,1,1,0,0,1,0,0,1,NA,1,0, ,0,NA,6,3,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C1504,2,2,4,3,3.5,NA,0,1,0,0,0,1,0,2,1,NA,0, ,1,NA,60,30,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,2,2,1,55555
C1515,3,2,5,3,5,NA,0,1,0,4,0,0,0,2,NA,1,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,0,55555
C1518,4,1,5,3,4,NA,0,1,0,0,0,3,0,2,1,1,0, ,0,NA,170,0,0,0,0,0,0,0,0,0,0,170,0,0, ,NA,NA,NA,0,55555
